0.140: [GC0.140: [DefNew: 384K->64K(448K), 0.0019220 secs] 384K->231K(1048512K), 0.0020200 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.314: [GC0.314: [DefNew: 448K->64K(448K), 0.0020600 secs] 615K->436K(1048512K), 0.0021220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.325: [GC0.325: [DefNew: 447K->63K(448K), 0.0013430 secs] 820K->804K(1048512K), 0.0013830 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.336: [GC0.336: [DefNew: 442K->63K(448K), 0.0006760 secs] 1182K->1176K(1048512K), 0.0007260 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.346: [GC0.346: [DefNew: 447K->63K(448K), 0.0010200 secs] 1560K->1550K(1048512K), 0.0010910 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.357: [GC0.357: [DefNew: 447K->64K(448K), 0.0006780 secs] 1934K->1931K(1048512K), 0.0007270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.367: [GC0.367: [DefNew: 448K->63K(448K), 0.0008560 secs] 2315K->2308K(1048512K), 0.0009050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.377: [GC0.377: [DefNew: 447K->63K(448K), 0.0009310 secs] 2692K->2682K(1048512K), 0.0009820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.387: [GC0.387: [DefNew: 447K->63K(448K), 0.0007270 secs] 3066K->3063K(1048512K), 0.0007700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.398: [GC0.398: [DefNew: 447K->63K(448K), 0.0008640 secs] 3447K->3442K(1048512K), 0.0009220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.408: [GC0.408: [DefNew: 447K->64K(448K), 0.0007210 secs] 3826K->3816K(1048512K), 0.0007680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.418: [GC0.418: [DefNew: 447K->63K(448K), 0.0011480 secs] 4199K->4194K(1048512K), 0.0012020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.428: [GC0.428: [DefNew: 447K->64K(448K), 0.0008460 secs] 4578K->4521K(1048512K), 0.0009150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.438: [GC0.438: [DefNew: 448K->63K(448K), 0.0008090 secs] 4905K->4830K(1048512K), 0.0008620 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.448: [GC0.448: [DefNew: 447K->64K(448K), 0.0006950 secs] 5214K->5120K(1048512K), 0.0007510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.459: [GC0.459: [DefNew: 448K->63K(448K), 0.0008310 secs] 5504K->5451K(1048512K), 0.0008930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.470: [GC0.470: [DefNew: 447K->64K(448K), 0.0009090 secs] 5835K->5789K(1048512K), 0.0009630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.481: [GC0.481: [DefNew: 448K->63K(448K), 0.0008440 secs] 6173K->6017K(1048512K), 0.0009080 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.491: [GC0.491: [DefNew: 447K->63K(448K), 0.0006270 secs] 6401K->6225K(1048512K), 0.0006840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.500: [GC0.500: [DefNew: 447K->64K(448K), 0.0006180 secs] 6608K->6448K(1048512K), 0.0006700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.511: [GC0.511: [DefNew: 448K->64K(448K), 0.0005840 secs] 6832K->6655K(1048512K), 0.0006330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.522: [GC0.522: [DefNew: 447K->63K(448K), 0.0043230 secs] 7039K->6890K(1048512K), 0.0045230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.537: [GC0.537: [DefNew: 447K->63K(448K), 0.0007620 secs] 7274K->7180K(1048512K), 0.0008270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.546: [GC0.546: [DefNew: 442K->63K(448K), 0.0007720 secs] 7558K->7422K(1048512K), 0.0008240 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
